Federico Vilar,3,PORTERO,1,Vilar
Carlos Felipe Rodr?guez,1,PORTERO,0,C.Rodriguez
Higinio Bucio,12,PORTERO,0,Bucio
Mauricio Mart?n Romero,5,DEFENSA,1,Romero
Enrique P?rez,2,DEFENSA,0,E.Perez
Oscar Francisco Razo,15,DEFENSA,0,Razo
Jos? Antonio Olvera,19,DEFENSA,0,Olvera
Luis Fernando Silva,14,DEFENSA,0,Silva
?Uriel ?lvarez,4,DEFENSA,0,Uriel
Joel Huiqui,6,DEFENSA,0,Huiqui
Fernando Salazar,13,DEFENSA,0,F.Salazar
Carlos Adri?n Morales,28,MEDIO,0,C.Morales
Francisco Torres,22,MEDIO,0,F.Torres
Christian Vald?z,26,MEDIO,0,Valdez
Jos? Hibert Ru?z,17,MEDIO,0,Hibert
Rodrigo Salinas,29,MEDIO,0,Salinas
Daniel Silva,23,MEDIO,0,D.Silva
Miguel Sabah,9,DELANTERO,0,Sabah
Carlos Ochoa,11,DELANTERO,0,Ochoa
Antonio Michael Pedroza,27,DELANTERO,0,Pedroza
Aldo Leao Ram?rez,8,DELANTERO,1,Leao
Edson Ju?rez,18,DELANTERO,0,Edson 
Jefferson Montero,7,DELANTERO,1,Montero
Joao Rojas,10,DELANTERO,0,Joao
?ngel  Sep?lveda,20,DELANTERO,0,Sepulveda
