Jorge Alberto D?az de Le?n,13,PORTERO,0,Diaz Leon
Enrique Palos,1,PORTERO,0,Palos
Austin Henry Guerrero,32,PORTERO,0,Guerrero
Alonso Ren? Zamora,23,DEFENSA,0,Zamora
"Anselmo ""Junhinho""",3,DEFENSA,1,Juninho
Eder Nicol?s Borelli,5,DEFENSA,0,Boreli
Jorge Torres Nilo,6,DEFENSA,0,Torres Nilo
Jos? Arturo Rivas,24,DEFENSA,0,Rivas
Carlos  Salcido,30,DEFENSA,0,Salcido
Abraham Stringel,25,DEFENSA,0,Stringel
Hugo Ayala,4,DEFENSA,0,H.Ayala
Israel Sabdi Jim?nez,2,DEFENSA,0,I.Jimenez
Fernando Navarro,14,DEFENSA,0,F.Navarro
Jes?s Alberto Due?as,29,MEDIO,0,Due?as
Manuel Viniegra,15,MEDIO,0,Viniegra
David Toledo,17,MEDIO,0,Toledo
Francisco  Acu?a,18,MEDIO,0,Acu?a
Dami?n  ?lvarez,11,MEDIO,1,D.Alvarez
Alberto Acosta,28,MEDIO,0,Acosta
Jonathan Bornstein,8,MEDIO,0,Bornstein
Lucas  Lobos,16,MEDIO,1,Lobos
Edno Cunha,31,DELANTERO,1,Edno
Luis Garc?a,9,DELANTERO,1,L. Garcia
El?as Hern?ndez,10,DELANTERO,0,Elias
Taufic Guarch,22,DELANTERO,0,Guarch
Alan Pulido,19,DELANTERO,0,Pulido
