Óscar Pérez Rojas,1,Portero,0,Conejo
Javier David Muñoz Mustafá,2,Defensa,1,Mustafa
Ricardo Adán Jiménez de Alba,3,Defensa,0,Jimenez
Marco Iván Pérez Riego,4,Defensa,0,Perez
Álvaro Ortiz Arellano,5,Defensa,0,Ortiz
Omar Alejandro Esparza Morales,6,Defensa,0,O.Esparza
Moisés Adrián Velasco Herrera,7,Mediocampista,0,Velasco
Alan Miguel Zamora González,8,Mediocampista,0,Zamora
Santiago Trellez Vivero,9,Delantero,1,Trellez
Mauro Matos,10,Delantero,1,Matos
Juan Ezequiel Cuevas,11,Mediocampista,1,Cuevas
César Amado Lozano Figueroa,12,Portero,0,Lozano
Francisco Javier Acuña Víctor,13,Mediocampista,0,Acuña
César Osvaldo Villaluz Martínez,14,Mediocampista,0,Villaluz
Jherson Enrique Córdoba Ospina,15,Mediocampista,1,Cordoba
Mario Virginio Ortiz Velásquez,16,Delantero,0,Ortiz
Guillermo Rojas Rumilla,17,Defensa,0,Rojas
Isaí Arredondo Fainsod,18,Mediocampista,0,Arredondo
Emilio López Navarro,19,Mediocampista,0,Lopez
Felix de Jesús Araujo Razo,20,Defensa,0,Araujo
Mario Méndez Olague,21,Defensa,0,Mendez
Orlando Javier Rincón Reyes,22,Defensa,0,Rincon
Yasser Anwar Corona Delgado,23,Defensa,0,Corona
Luis Alfonso Rodríguez Alanís,24,Defensa,0,Rodriguez
Carlos Alberto Trejo Sánchez,25,Portero,0,Trejo
Luis Ángel Mendoza Escamilla,26,Delantero,0,Mendoza
Erick Esparza Montemayor,28,Delantero,0,E.Esparza
David Alejandro Salazar Zepeda,29,Delantero,0,Salazar
Juan Jonathan García Díaz,30,Delantero,0,Garcia
José Pablo Díaz Ruíz,31,Mediocampista,0,Diaz
Ricardo Balderas Ortiz,38,Mediocampista,0,Balderas
Adrián Marín Lugo,60,Mediocampista,0,Marin
