Jes?s Alejandro Gallardo,12,PORTERO,0,Gallardo
Alan Alfredo L?pez,21,PORTERO,0,A. Lopez
Miguel ?ngel Pinto,1,PORTERO,1,Pinto
Leandro Cufre,25,DEFENSA,1,Cufre
Facundo Erpen,5,DEFENSA,1,Erpen
Guillermo Christhofer Mart?n,32,DEFENSA,0,G.Martin
Rogelio Guadalupe Osuna,31,DEFENSA,0,Osuna 
Antonio Brise?o,4,DEFENSA,0,Pollo
Hugo Isa?c Rodr?guez,20,DEFENSA,0,H. Rodriguez
Luis Ramos,3,DEFENSA,0,Ramos
Alexis Emmanuel Loera,14,DEFENSA,0,Loera
Sergio Amaury Ponce,16,DEFENSA,0,Amaury
Luis Enrique Robles,17,DEFENSA,0,Macue
Gregorio Torres,6,DEFENSA,0,Goyo
Christian S?nchez,2,DEFENSA,0,Sanchez
Ricardo Bocanegra,23,MEDIO,0,Bocanegra
Lucas Ayala,8,MEDIO,0,Ayala
Alfredo S?nchez,24,MEDIO,0,Alfredo Sanchez
Luis Alonso Sandoval,28,MEDIO,0,Negro 
Arturo Alfonso Gonz?lez,15,MEDIO,0,Gonzalez
Christian D?az,27,MEDIO,0,Diaz
Juan Pablo Vigon,22,MEDIO,0,Vigon 
Luis Fernando T?lles,18,MEDIO,0,Telles
Luis Alberto Bola?os,10,MEDIO,1,Bola?os 
Carlos Alberto Guti?rrez,26,MEDIO,0,Gutierrez
Sergio Santana,11,DELANTERO,0,Santana
Vicente Mat?as Vuoso,30,DELANTERO,0,Vouso
Jahir Barraza,19,DELANTERO,0,Barraza
Alberto Pindter,29,DELANTERO,0,Pindter
H?ctor Mancilla,9,DELANTERO,1,Mancilla
Flavio Santos,7,DELANTERO,0,Santos 
